file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,70,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,71,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,72,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,6
style.css,73,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,17
style.css,74,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,15
style.css,75,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,32
style.css,76,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,18
style.css,77,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,78,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,79,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,9
style.css,80,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,12
style.css,81,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,58
style.css,82,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,13
style.css,83,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,84,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,85,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,7
style.css,86,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,12
style.css,87,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,26
style.css,88,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,15
style.css,89,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,90,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,91,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,2
style.css,92,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,8
style.css,93,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,94,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,2
style.css,95,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,13
style.css,96,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,97,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,22
style.css,98,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,15
style.css,99,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,17
style.css,100,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,101,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,7
style.css,102,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,13
style.css,103,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,104,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,105,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,15
style.css,106,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,13
style.css,107,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,108,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,109,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,14
style.css,110,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,17
style.css,111,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,112,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,113,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,7
style.css,114,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,19
style.css,115,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,116,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,117,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,6
style.css,118,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,17
style.css,119,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,120,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,0
style.css,121,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,12
style.css,122,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,0,16
style.css,123,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,12
style.css,124,css,d2366d26,ColecamC,2026-04-10,21:38:26,-07:00,2026-04-10T21:38:26-07:00,1,29
style.css,125,css,f38ce9cf,ColecamC,2026-04-03,19:20:15,-07:00,2026-04-03T19:20:15-07:00,0,0
style.css,126,css,ee25c528,ColecamC,2026-04-18,22:55:16,-07:00,2026-04-18T22:55:16-07:00,0,0
style.css,127,css,ee25c528,ColecamC,2026-04-18,22:55:16,-07:00,2026-04-18T22:55:16-07:00,0,3
style.css,128,css,ee25c528,ColecamC,2026-04-18,22:55:16,-07:00,2026-04-18T22:55:16-07:00,1,39
style.css,129,css,ee25c528,ColecamC,2026-04-18,22:55:16,-07:00,2026-04-18T22:55:16-07:00,1,41
style.css,130,css,ee25c528,ColecamC,2026-04-18,22:55:16,-07:00,2026-04-18T22:55:16-07:00,0,0
style.css,131,css,ee25c528,ColecamC,2026-04-18,22:55:16,-07:00,2026-04-18T22:55:16-07:00,0,0
style.css,132,css,ee25c528,ColecamC,2026-04-18,22:55:16,-07:00,2026-04-18T22:55:16-07:00,0,18
style.css,133,css,ee25c528,ColecamC,2026-04-18,22:55:16,-07:00,2026-04-18T22:55:16-07:00,1,17
style.css,134,css,ee25c528,ColecamC,2026-04-18,22:55:16,-07:00,2026-04-18T22:55:16-07:00,1,8
style.css,135,css,ee25c528,ColecamC,2026-04-18,22:55:16,-07:00,2026-04-18T22:55:16-07:00,1,10
style.css,136,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,0
style.css,137,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,0
style.css,138,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,14
style.css,139,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,16
style.css,140,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,0
style.css,141,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,0
style.css,142,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,17
style.css,143,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,12
style.css,144,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,36
style.css,145,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,69
style.css,146,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,19
style.css,147,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,11
style.css,148,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,11
style.css,149,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,8
style.css,150,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,0
style.css,151,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,0
style.css,152,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,17
style.css,153,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,10
style.css,154,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,15
style.css,155,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,24
style.css,156,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,21
